"","subject","item","region","measure","proficiency","sort","condition","skips","rawdata","nozero","ambiguity","gender"
"8567",11,12,"disamb","fp",75,"disamb fp",2,0,412,412,0.5,0.5
"8569",11,16,"disamb","fp",75,"disamb fp",2,0,630,630,0.5,0.5
"8571",11,22,"disamb","fp",75,"disamb fp",4,0,200,200,-0.5,0.5
"8573",11,21,"disamb","fp",75,"disamb fp",3,0,336,336,-0.5,-0.5
"8575",11,1,"disamb","fp",75,"disamb fp",3,0,362,362,-0.5,-0.5
"8577",11,20,"disamb","fp",75,"disamb fp",2,0,480,480,0.5,0.5
"8579",11,14,"disamb","fp",75,"disamb fp",4,0,460,460,-0.5,0.5
"8581",11,17,"disamb","fp",75,"disamb fp",3,0,244,244,-0.5,-0.5
"8583",11,4,"disamb","fp",75,"disamb fp",2,0,354,354,0.5,0.5
"8585",11,11,"disamb","fp",75,"disamb fp",1,0,450,450,0.5,-0.5
"8587",11,6,"disamb","fp",75,"disamb fp",4,0,302,302,-0.5,0.5
"8589",11,8,"disamb","fp",75,"disamb fp",2,0,354,354,0.5,0.5
"8591",11,23,"disamb","fp",75,"disamb fp",1,0,848,848,0.5,-0.5
"8593",11,5,"disamb","fp",75,"disamb fp",3,0,350,350,-0.5,-0.5
"8595",11,7,"disamb","fp",75,"disamb fp",1,0,384,384,0.5,-0.5
"8597",11,13,"disamb","fp",75,"disamb fp",3,0,356,356,-0.5,-0.5
"9415",12,14,"disamb","fp",63,"disamb fp",3,0,277,277,-0.5,-0.5
"9417",12,7,"disamb","fp",63,"disamb fp",4,0,188,188,-0.5,0.5
"9419",12,11,"disamb","fp",63,"disamb fp",4,0,368,368,-0.5,0.5
"9421",12,19,"disamb","fp",63,"disamb fp",4,1,0,NA,-0.5,0.5
"9423",12,24,"disamb","fp",63,"disamb fp",1,0,262,262,0.5,-0.5
"9425",12,18,"disamb","fp",63,"disamb fp",3,0,175,175,-0.5,-0.5
"9427",12,15,"disamb","fp",63,"disamb fp",4,0,229,229,-0.5,0.5
"9429",12,20,"disamb","fp",63,"disamb fp",1,0,150,150,0.5,-0.5
"9431",12,22,"disamb","fp",63,"disamb fp",3,1,0,NA,-0.5,-0.5
"9433",12,23,"disamb","fp",63,"disamb fp",4,0,546,546,-0.5,0.5
"9435",12,2,"disamb","fp",63,"disamb fp",3,0,172,172,-0.5,-0.5
"9437",12,6,"disamb","fp",63,"disamb fp",3,0,266,266,-0.5,-0.5
"9439",12,3,"disamb","fp",63,"disamb fp",4,0,207,207,-0.5,0.5
"9441",12,4,"disamb","fp",63,"disamb fp",1,0,417,417,0.5,-0.5
"9443",12,9,"disamb","fp",63,"disamb fp",2,0,223,223,0.5,0.5
"9445",12,1,"disamb","fp",63,"disamb fp",2,0,483,483,0.5,0.5
"9447",12,13,"disamb","fp",63,"disamb fp",2,0,218,218,0.5,0.5
"9449",12,16,"disamb","fp",63,"disamb fp",1,0,193,193,0.5,-0.5
"9451",12,8,"disamb","fp",63,"disamb fp",1,0,741,741,0.5,-0.5
"9453",12,5,"disamb","fp",63,"disamb fp",2,0,501,501,0.5,0.5
"9455",12,21,"disamb","fp",63,"disamb fp",2,0,429,429,0.5,0.5
"9457",12,10,"disamb","fp",63,"disamb fp",3,0,139,139,-0.5,-0.5
"9459",12,17,"disamb","fp",63,"disamb fp",2,0,1180,1180,0.5,0.5
"9461",12,12,"disamb","fp",63,"disamb fp",1,0,275,275,0.5,-0.5
"10280",13,7,"disamb","fp",70,"disamb fp",2,0,536,536,0.5,0.5
"10282",13,3,"disamb","fp",70,"disamb fp",2,0,544,544,0.5,0.5
"10284",13,20,"disamb","fp",70,"disamb fp",3,0,362,362,-0.5,-0.5
"10286",13,23,"disamb","fp",70,"disamb fp",2,0,204,204,0.5,0.5
"10288",13,2,"disamb","fp",70,"disamb fp",1,0,514,514,0.5,-0.5
"10290",13,13,"disamb","fp",70,"disamb fp",4,0,322,322,-0.5,0.5
"10292",13,24,"disamb","fp",70,"disamb fp",3,1,0,NA,-0.5,-0.5
"10294",13,11,"disamb","fp",70,"disamb fp",2,0,346,346,0.5,0.5
"10296",13,14,"disamb","fp",70,"disamb fp",1,0,650,650,0.5,-0.5
"10298",13,8,"disamb","fp",70,"disamb fp",3,0,324,324,-0.5,-0.5
"10300",13,15,"disamb","fp",70,"disamb fp",2,0,760,760,0.5,0.5
"10302",13,4,"disamb","fp",70,"disamb fp",3,0,312,312,-0.5,-0.5
"10304",13,1,"disamb","fp",70,"disamb fp",4,0,408,408,-0.5,0.5
"10306",13,12,"disamb","fp",70,"disamb fp",3,0,346,346,-0.5,-0.5
"10308",13,10,"disamb","fp",70,"disamb fp",1,0,310,310,0.5,-0.5
"10310",13,9,"disamb","fp",70,"disamb fp",4,0,496,496,-0.5,0.5
"10312",13,17,"disamb","fp",70,"disamb fp",4,0,306,306,-0.5,0.5
"10314",13,22,"disamb","fp",70,"disamb fp",1,0,396,396,0.5,-0.5
"10316",13,21,"disamb","fp",70,"disamb fp",4,0,534,534,-0.5,0.5
"10318",13,6,"disamb","fp",70,"disamb fp",1,0,370,370,0.5,-0.5
"10320",13,5,"disamb","fp",70,"disamb fp",4,0,294,294,-0.5,0.5
"10322",13,19,"disamb","fp",70,"disamb fp",2,0,338,338,0.5,0.5
"10324",13,16,"disamb","fp",70,"disamb fp",3,0,440,440,-0.5,-0.5
"10326",13,18,"disamb","fp",70,"disamb fp",1,0,372,372,0.5,-0.5
"11143",14,12,"disamb","fp",72,"disamb fp",4,0,140,140,-0.5,0.5
"11145",14,23,"disamb","fp",72,"disamb fp",3,0,760,760,-0.5,-0.5
